id;Type;PRISM;PRISMshifted;other;othershifted
bluetooth.1.time;dtmc;17.84842586517334;17.84842586517334;12.359553337097168;12.359553337097168
crowds.5-20.positive;dtmc;7.673661708831787;7.673661708831787;1.8155770301818848;1.8155770301818848
crowds.6-20.positive;dtmc;37.32469201087952;37.32469201087952;1.6924643516540527;1.6924643516540527
egl.10-2.messagesB;dtmc;3.3275957107543945;3.3275957107543945;1.5322930812835693;1.5322930812835693
egl.10-2.unfairA;dtmc;1.8373444080352783;1.8373444080352783;1.5865931510925293;1.5865931510925293
egl.10-8.messagesB;dtmc;98.83488297462463;98.83488297462463;1.9752705097198486;1.9752705097198486
egl.10-8.unfairA;dtmc;17.617414712905884;17.617414712905884;1.995056390762329;1.995056390762329
haddad-monmege.100-0.7.exp_steps;dtmc;1.5571048259735107;1.5571048259735107;0.06011795997619629;1
haddad-monmege.100-0.7.target;dtmc;5.171628475189209;5.171628475189209;0.056337594985961914;1
herman.15.steps;dtmc;10.434335470199585;10.434335470199585;3.5362820625305176;3.5362820625305176
nand.40-4.reliable;dtmc;16.457151889801025;16.457151889801025;1.632643222808838;1.632643222808838
nand.60-4.reliable;dtmc;48.433531761169434;48.433531761169434;1.7370505332946777;1.7370505332946777
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;84.7596263885498;84.7596263885498;193.34556484222412;193.34556484222412
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;85.18084716796875;85.18084716796875;193.17824006080627;193.17824006080627
cluster.128-2000-20.premium_steady;ctmc;13.889392375946045;13.889392375946045;1.3333492279052734;1.3333492279052734
cluster.128-2000-20.qos1;ctmc;1104.4370770454407;1104.4370770454407;568.3947517871857;568.3947517871857
cluster.64-2000-20.below_min;ctmc;9.089563608169556;9.089563608169556;820.21138048172;820.21138048172
embedded.8-12.actuators;ctmc;1.6752760410308838;1.6752760410308838;0.6746721267700195;1
embedded.8-12.up_time;ctmc;1.6690828800201416;1.6690828800201416;0.6931822299957275;1
fms.8.productivity;ctmc;71.9542944431305;71.9542944431305;1.3885276317596436;1.3885276317596436
kanban.5.throughput;ctmc;18.703588485717773;18.703588485717773;1.2951877117156982;1.2951877117156982
majority.2100.change_state;ctmc;181.72536993026733;181.72536993026733;25.797722339630127;25.797722339630127
mapk_cascade.4-30.activated_time;ctmc;8000;8000;1.6191112995147705;1.6191112995147705
mapk_cascade.4-30.reactions;ctmc;16000;16000;1.3278398513793945;1.3278398513793945
polling.18-16.s1_before_s2;ctmc;39.76050043106079;39.76050043106079;7.9360878467559814;7.9360878467559814
speed-ind.2100.change_state;ctmc;569.9991035461426;569.9991035461426;38.060200452804565;38.060200452804565
consensus.4-4.disagree;mdp;10.778946161270142;10.778946161270142;1.3915112018585205;1.3915112018585205
consensus.4-4.steps_min;mdp;25.360815048217773;25.360815048217773;1.4018285274505615;1.4018285274505615
consensus.6-2.disagree;mdp;118.59371542930603;118.59371542930603;10.38874101638794;10.38874101638794
consensus.6-2.steps_min;mdp;402.1419200897217;402.1419200897217;4.018651485443115;4.018651485443115
csma.3-4.all_before_max;mdp;121.16342735290527;121.16342735290527;6.135810613632202;6.135810613632202
csma.3-4.time_max;mdp;58.88854765892029;58.88854765892029;6.716291666030884;6.716291666030884
csma.4-2.all_before_max;mdp;64.97968029975891;64.97968029975891;3.0571415424346924;3.0571415424346924
csma.4-2.time_max;mdp;53.32036519050598;53.32036519050598;4.1895482540130615;4.1895482540130615
eajs.5-250-11.ExpUtil;mdp;53.66657018661499;53.66657018661499;17.927417278289795;17.927417278289795
eajs.6-300-13.ExpUtil;mdp;166.20431065559387;166.20431065559387;43.643831968307495;43.643831968307495
pacman.100.crash;mdp;4000;4000;74.63979363441467;74.63979363441467
pacman.60.crash;mdp;4000;4000;31.081514358520508;31.081514358520508
pnueli-zuck.5.live;mdp;1.6870434284210205;1.6870434284210205;0.887401819229126;1
pnueli-zuck.10.live;mdp;15.001332998275757;15.001332998275757;0.8149840831756592;1
rabin.10.live;mdp;67.7798490524292;67.7798490524292;0.9297399520874023;1
resource-gathering.1300-100-100.expgold;mdp;37.22494077682495;37.22494077682495;1.4679224491119385;1.4679224491119385
resource-gathering.1300-100-100.expsteps;mdp;8000;8000;37.67688703536987;37.67688703536987
resource-gathering.1300-100-100.prgoldgem;mdp;23.650977611541748;23.650977611541748;43.99688529968262;43.99688529968262
wlan.4-0.sent;mdp;9.873354434967041;9.873354434967041;2.216695547103882;2.216695547103882
wlan.4-0.cost_min;mdp;67.76777148246765;67.76777148246765;4.212693929672241;4.212693929672241
wlan.5-0.sent;mdp;27.42373299598694;27.42373299598694;3.605030059814453;3.605030059814453
wlan.5-0.cost_min;mdp;547.5058174133301;547.5058174133301;11.700613737106323;11.700613737106323
wlan.6-0.sent;mdp;99.87042617797852;99.87042617797852;5.655471563339233;5.655471563339233
wlan.6-0.cost_min;mdp;4000;4000;38.52902007102966;38.52902007102966
zeroconf.1000-8-false.correct_max;mdp;213.5708451271057;213.5708451271057;13.170981407165527;13.170981407165527
zeroconf.1000-8-false.correct_min;mdp;110.75507307052612;110.75507307052612;14.974791526794434;14.974791526794434
