n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
62;;;;337.367210149765;337.367210149765;337.367210149765;;;;;;;;;;;;;31.081514358520508;31.081514358520508;31.081514358520508;32.40609407424927;32.40609407424927;32.40609407424927
63;;;;406.9941985607147;406.9941985607147;406.9941985607147;;;;;;;;;;;;;33.39845132827759;33.39845132827759;33.39845132827759;35.61362910270691;35.61362910270691;35.61362910270691
64;;;;468.80231523513794;468.80231523513794;468.80231523513794;;;;;;;;;;;;;36.742867946624756;36.742867946624756;36.742867946624756;37.6872341632843;37.6872341632843;37.6872341632843
65;;;;787.2704019546509;787.2704019546509;787.2704019546509;;;;;;;;;;;;;37.67688703536987;37.67688703536987;37.67688703536987;38.83102536201477;38.83102536201477;38.83102536201477
66;;;;1320.1117858886719;1320.1117858886719;1320.1117858886719;;;;;;;;;;;;;38.52902007102966;38.52902007102966;38.52902007102966;40.40327739715576;40.40327739715576;40.40327739715576
67;;;;1409.2778446674347;1409.2778446674347;1409.2778446674347;;;;;;;;;;;;;39.63790464401245;39.63790464401245;39.63790464401245;45.57997536659241;45.57997536659241;45.57997536659241
68;;;;;;;;;;;;;;;;;;;43.643831968307495;43.643831968307495;43.643831968307495;47.50251245498657;47.50251245498657;47.50251245498657
69;;;;;;;;;;;;;;;;;;;43.99688529968262;43.99688529968262;43.99688529968262;47.524653673172;47.524653673172;47.524653673172
70;;;;;;;;;;;;;;;;;;;47.672465085983276;47.672465085983276;47.672465085983276;48.9425745010376;48.9425745010376;48.9425745010376
71;;;;;;;;;;;;;;;;;;;54.549681425094604;54.549681425094604;54.549681425094604;55.114081144332886;55.114081144332886;55.114081144332886
72;;;;;;;;;;;;;;;;;;;57.25772047042847;57.25772047042847;57.25772047042847;56.823638677597046;56.823638677597046;56.823638677597046
73;;;;;;;;;;;;;;;;;;;57.4958279132843;57.4958279132843;57.4958279132843;57.753721952438354;57.753721952438354;57.753721952438354
74;;;;;;;;;;;;;;;;;;;58.921613931655884;58.921613931655884;58.921613931655884;60.143861532211304;60.143861532211304;60.143861532211304
75;;;;;;;;;;;;;;;;;;;62.66628384590149;62.66628384590149;62.66628384590149;62.99220252037048;62.99220252037048;62.99220252037048
76;;;;;;;;;;;;;;;;;;;74.05376076698303;74.05376076698303;74.05376076698303;73.7836971282959;73.7836971282959;73.7836971282959
77;;;;;;;;;;;;;;;;;;;74.63979363441467;74.63979363441467;74.63979363441467;76.42004060745239;76.42004060745239;76.42004060745239
78;;;;;;;;;;;;;;;;;;;100.01138091087341;100.01138091087341;100.01138091087341;102.72332310676575;102.72332310676575;102.72332310676575
79;;;;;;;;;;;;;;;;;;;116.69167304039001;116.69167304039001;116.69167304039001;116.80796551704407;116.80796551704407;116.80796551704407
80;;;;;;;;;;;;;;;;;;;193.17824006080627;193.17824006080627;193.17824006080627;210.014741897583;210.014741897583;210.014741897583
81;;;;;;;;;;;;;;;;;;;193.34556484222412;193.34556484222412;193.34556484222412;210.07728958129883;210.07728958129883;210.07728958129883
82;;;;;;;;;;;;;;;;;;;233.2560749053955;233.2560749053955;233.2560749053955;238.02136516571045;238.02136516571045;238.02136516571045
83;;;;;;;;;;;;;;;;;;;242.87736129760742;242.87736129760742;242.87736129760742;242.6354639530182;242.6354639530182;242.6354639530182
84;;;;;;;;;;;;;;;;;;;516.0725831985474;516.0725831985474;516.0725831985474;445.4874930381775;445.4874930381775;445.4874930381775
85;;;;;;;;;;;;;;;;;;;568.3947517871857;568.3947517871857;568.3947517871857;522.7583940029144;522.7583940029144;522.7583940029144
86;;;;;;;;;;;;;;;;;;;820.21138048172;820.21138048172;820.21138048172;616.8096361160278;616.8096361160278;616.8096361160278
87;;;;;;;;;;;;;;;;;;;1446.4037601947784;1446.4037601947784;1446.4037601947784;1396.6023995876312;1396.6023995876312;1396.6023995876312
88;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;
