n;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
21;;;;7.9360878467559814;7.9360878467559814;7.9360878467559814;418.5042233467102;418.5042233467102;418.5042233467102;273.86997747421265;273.86997747421265;273.86997747421265;35.61362910270691;35.61362910270691;35.61362910270691
22;;;;19.1947078704834;19.1947078704834;19.1947078704834;630.5307590961456;630.5307590961456;630.5307590961456;444.55461621284485;444.55461621284485;444.55461621284485;62.99220252037048;62.99220252037048;62.99220252037048
23;;;;25.797722339630127;25.797722339630127;25.797722339630127;;;;611.816163778305;611.816163778305;611.816163778305;76.42004060745239;76.42004060745239;76.42004060745239
24;;;;35.169140577316284;35.169140577316284;35.169140577316284;;;;823.9160499572754;823.9160499572754;823.9160499572754;102.72332310676575;102.72332310676575;102.72332310676575
25;;;;38.060200452804565;38.060200452804565;38.060200452804565;;;;935.5361328125;935.5361328125;935.5361328125;116.80796551704407;116.80796551704407;116.80796551704407
26;;;;596.6457431316376;596.6457431316376;596.6457431316376;;;;;;;210.014741897583;210.014741897583;210.014741897583
27;;;;1146.796303987503;1146.796303987503;1146.796303987503;;;;;;;210.07728958129883;210.07728958129883;210.07728958129883
28;;;;;;;;;;;;;238.02136516571045;238.02136516571045;238.02136516571045
29;;;;;;;;;;;;;242.6354639530182;242.6354639530182;242.6354639530182
30;;;;;;;;;;;;;445.4874930381775;445.4874930381775;445.4874930381775
31;;;;;;;;;;;;;616.8096361160278;616.8096361160278;616.8096361160278
32;;;;;;;;;;;;;1396.6023995876312;1396.6023995876312;1396.6023995876312
33;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;
