id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;1.786186933517456;1.786186933517456
crowds.6-20.positive;dtmc;4000;4000;1.6728975772857666;1.6728975772857666
egl.10-2.unfairA;dtmc;4000;4000;1.5707991123199463;1.5707991123199463
egl.10-8.unfairA;dtmc;8000;8000;1.9102001190185547;1.9102001190185547
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.056337594985961914;1
nand.40-4.reliable;dtmc;4000;4000;1.621913194656372;1.621913194656372
nand.60-4.reliable;dtmc;4000;4000;1.686887264251709;1.686887264251709
embedded.8-12.actuators;ctmc;87.15906119346619;87.15906119346619;0.3208444118499756;1
polling.18-16.s1_before_s2;ctmc;4000;4000;3.551591634750366;3.551591634750366
consensus.4-4.disagree;mdp;4000;4000;1.3915112018585205;1.3915112018585205
consensus.6-2.disagree;mdp;8000;8000;10.386704206466675;10.386704206466675
csma.3-4.all_before_max;mdp;51.73758888244629;51.73758888244629;6.153059959411621;6.153059959411621
csma.4-2.all_before_max;mdp;37.218525409698486;37.218525409698486;3.734046459197998;3.734046459197998
pacman.100.crash;mdp;8000;8000;73.7836971282959;73.7836971282959
pacman.60.crash;mdp;4000;4000;31.081514358520508;31.081514358520508
pnueli-zuck.5.live;mdp;294.98741483688354;294.98741483688354;0.887401819229126;1
pnueli-zuck.10.live;mdp;0.8149840831756592;1;2.389371395111084;2.389371395111084
rabin.10.live;mdp;0.9297399520874023;1;1.9087796211242676;1.9087796211242676
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.650977611541748;23.650977611541748
wlan.4-0.sent;mdp;4000;4000;2.199981689453125;2.199981689453125
wlan.5-0.sent;mdp;4000;4000;3.397376775741577;3.397376775741577
wlan.6-0.sent;mdp;4000;4000;5.655471563339233;5.655471563339233
zeroconf.1000-8-false.correct_max;mdp;16000;16000;14.38054633140564;14.38054633140564
zeroconf.1000-8-false.correct_min;mdp;16000;16000;13.931807041168213;13.931807041168213
