id;Type;Storm;Stormshifted;other;othershifted
bluetooth.1.time;dtmc;10.40230393409729;10.40230393409729;17.84842586517334;17.84842586517334
coupon.9-4-5.collect_all_bounded;dtmc;4.68962025642395;4.68962025642395;1.3410463333129883;1.3410463333129883
coupon.9-4-5.exp_draws;dtmc;4.513299226760864;4.513299226760864;1.1572401523590088;1.1572401523590088
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;35.169140577316284;35.169140577316284
coupon.15-4-5.exp_draws;dtmc;1396.6023995876312;1396.6023995876312;1.182654857635498;1.182654857635498
crowds.5-20.positive;dtmc;2.693235397338867;2.693235397338867;1.8155770301818848;1.8155770301818848
crowds.6-20.positive;dtmc;2.9509332180023193;2.9509332180023193;1.6924643516540527;1.6924643516540527
egl.10-2.messagesB;dtmc;3.76371431350708;3.76371431350708;1.5322930812835693;1.5322930812835693
egl.10-2.unfairA;dtmc;3.800344705581665;3.800344705581665;1.5865931510925293;1.5865931510925293
egl.10-8.messagesB;dtmc;16.491640329360962;16.491640329360962;1.9752705097198486;1.9752705097198486
egl.10-8.unfairA;dtmc;26.026153564453125;26.026153564453125;1.995056390762329;1.995056390762329
haddad-monmege.100-0.7.exp_steps;dtmc;0.05856442451477051;1;1.5571048259735107;1.5571048259735107
haddad-monmege.100-0.7.target;dtmc;0.0566103458404541;1;5.171628475189209;5.171628475189209
herman.15.steps;dtmc;4.307504892349243;4.307504892349243;10.434335470199585;10.434335470199585
nand.40-4.reliable;dtmc;8.609684467315674;8.609684467315674;1.632643222808838;1.632643222808838
nand.60-4.reliable;dtmc;35.61362910270691;35.61362910270691;1.7370505332946777;1.7370505332946777
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;210.07728958129883;210.07728958129883;84.7596263885498;84.7596263885498
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;210.014741897583;210.014741897583;85.18084716796875;85.18084716796875
cluster.128-2000-20.premium_steady;ctmc;116.80796551704407;116.80796551704407;1.3333492279052734;1.3333492279052734
cluster.128-2000-20.qos1;ctmc;445.4874930381775;445.4874930381775;1104.4370770454407;1104.4370770454407
cluster.64-2000-20.below_min;ctmc;616.8096361160278;616.8096361160278;9.089563608169556;9.089563608169556
embedded.8-12.actuators;ctmc;0.3208444118499756;1;1.6752760410308838;1.6752760410308838
embedded.8-12.up_time;ctmc;0.28497791290283203;1;1.6690828800201416;1.6690828800201416
fms.8.productivity;ctmc;4000;4000;1.3885276317596436;1.3885276317596436
kanban.5.throughput;ctmc;102.72332310676575;102.72332310676575;1.2951877117156982;1.2951877117156982
majority.2100.change_state;ctmc;62.99220252037048;62.99220252037048;25.797722339630127;25.797722339630127
mapk_cascade.4-30.activated_time;ctmc;4.044528245925903;4.044528245925903;1.6191112995147705;1.6191112995147705
