id;Type;modes;modesshifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;1.2768659591674805;1.2768659591674805;4.68962025642395;4.68962025642395
coupon.9-4-5.exp_draws;dtmc;1.1534817218780518;1.1534817218780518;4.407823085784912;4.407823085784912
coupon.15-4-5.collect_all_bounded;dtmc;34.36798882484436;34.36798882484436;4000;4000
coupon.15-4-5.exp_draws;dtmc;1.1929829120635986;1.1929829120635986;1396.6023995876312;1396.6023995876312
crowds.5-20.positive;dtmc;1.786186933517456;1.786186933517456;2.555194854736328;2.555194854736328
crowds.6-20.positive;dtmc;1.6728975772857666;1.6728975772857666;2.9509332180023193;2.9509332180023193
egl.10-2.messagesB;dtmc;1.5399584770202637;1.5399584770202637;3.3275957107543945;3.3275957107543945
egl.10-2.unfairA;dtmc;1.5707991123199463;1.5707991123199463;1.6060616970062256;1.6060616970062256
egl.10-8.messagesB;dtmc;1.8183283805847168;1.8183283805847168;15.637234687805176;15.637234687805176
egl.10-8.unfairA;dtmc;1.9102001190185547;1.9102001190185547;2.7393476963043213;2.7393476963043213
haddad-monmege.100-0.7.exp_steps;dtmc;8000;8000;0.05856442451477051;1
haddad-monmege.100-0.7.target;dtmc;8000;8000;0.056337594985961914;1
nand.40-4.reliable;dtmc;1.621913194656372;1.621913194656372;6.4411537647247314;6.4411537647247314
nand.60-4.reliable;dtmc;1.686887264251709;1.686887264251709;29.94443917274475;29.94443917274475
cluster.128-2000-20.qos1;ctmc;4000;4000;445.4874930381775;445.4874930381775
cluster.64-2000-20.below_min;ctmc;4000;4000;9.089563608169556;9.089563608169556
embedded.8-12.actuators;ctmc;8000;8000;0.3208444118499756;1
embedded.8-12.up_time;ctmc;8000;8000;0.28497791290283203;1
majority.2100.change_state;ctmc;25.023950576782227;25.023950576782227;62.66628384590149;62.66628384590149
mapk_cascade.4-30.activated_time;ctmc;1.614624261856079;1.614624261856079;4.023967027664185;4.023967027664185
mapk_cascade.4-30.reactions;ctmc;16000;16000;233.2560749053955;233.2560749053955
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;1139.861046552658;1139.861046552658;74.05376076698303;74.05376076698303
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.2427709102630615;1.2427709102630615;1.4504799842834473;1.4504799842834473
philosophers.16-1.MinExpTimeDeadlock;ctmc;1.2907960414886475;1.2907960414886475;27.561355113983154;27.561355113983154
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1.262556791305542;1.262556791305542;1.9490702152252197;1.9490702152252197
philosophers.20-1.MinExpTimeDeadlock;ctmc;1.320009708404541;1.320009708404541;4000;4000
polling.18-16.s1_before_s2;ctmc;3.551591634750366;3.551591634750366;22.788467407226562;22.788467407226562
speed-ind.2100.change_state;ctmc;34.808318853378296;34.808318853378296;242.6354639530182;242.6354639530182
