n;DFTRES;DFTRESscaled;DFTRESshifted;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;ModestFRETpiLRTDP;ModestFRETpiLRTDPscaled;ModestFRETpiLRTDPshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
21;;;;245.76520991325378;245.76520991325378;245.76520991325378;12.376911401748657;12.376911401748657;12.376911401748657;;;;;;;;;;21.573160409927368;21.573160409927368;21.573160409927368;;;;10.272721529006958;10.272721529006958;10.272721529006958;2.6688802242279053;2.6688802242279053;2.6688802242279053
22;;;;327.57287073135376;327.57287073135376;327.57287073135376;13.202630519866943;13.202630519866943;13.202630519866943;;;;;;;;;;21.713942527770996;21.713942527770996;21.713942527770996;;;;10.315888166427612;10.315888166427612;10.315888166427612;2.7329373359680176;2.7329373359680176;2.7329373359680176
23;;;;355.84288477897644;355.84288477897644;355.84288477897644;14.35648226737976;14.35648226737976;14.35648226737976;;;;;;;;;;23.38982105255127;23.38982105255127;23.38982105255127;;;;11.066964626312256;11.066964626312256;11.066964626312256;2.985177755355835;2.985177755355835;2.985177755355835
24;;;;358.29974699020386;358.29974699020386;358.29974699020386;14.484102010726929;14.484102010726929;14.484102010726929;;;;;;;;;;27.04858684539795;27.04858684539795;27.04858684539795;;;;12.840407848358154;12.840407848358154;12.840407848358154;3.432474374771118;3.432474374771118;3.432474374771118
25;;;;424.566118478775;424.566118478775;424.566118478775;14.642618894577026;14.642618894577026;14.642618894577026;;;;;;;;;;27.517194986343384;27.517194986343384;27.517194986343384;;;;14.75306510925293;14.75306510925293;14.75306510925293;3.677351474761963;3.677351474761963;3.677351474761963
26;;;;426.56995391845703;426.56995391845703;426.56995391845703;15.878494501113892;15.878494501113892;15.878494501113892;;;;;;;;;;30.54009485244751;30.54009485244751;30.54009485244751;;;;15.359503030776978;15.359503030776978;15.359503030776978;3.724867343902588;3.724867343902588;3.724867343902588
27;;;;522.0889558792114;522.0889558792114;522.0889558792114;17.623847723007202;17.623847723007202;17.623847723007202;;;;;;;;;;37.19826865196228;37.19826865196228;37.19826865196228;;;;16.67484951019287;16.67484951019287;16.67484951019287;3.7315237522125244;3.7315237522125244;3.7315237522125244
28;;;;829.2652363777161;829.2652363777161;829.2652363777161;18.953999280929565;18.953999280929565;18.953999280929565;;;;;;;;;;37.257758140563965;37.257758140563965;37.257758140563965;;;;17.072768688201904;17.072768688201904;17.072768688201904;3.8108909130096436;3.8108909130096436;3.8108909130096436
29;;;;877.6498515605927;877.6498515605927;877.6498515605927;19.199933528900146;19.199933528900146;19.199933528900146;;;;;;;;;;38.53965520858765;38.53965520858765;38.53965520858765;;;;17.269431829452515;17.269431829452515;17.269431829452515;4.200374364852905;4.200374364852905;4.200374364852905
30;;;;1167.08739900589;1167.08739900589;1167.08739900589;20.75012493133545;20.75012493133545;20.75012493133545;;;;;;;;;;42.58271408081055;42.58271408081055;42.58271408081055;;;;18.563143730163574;18.563143730163574;18.563143730163574;4.516379117965698;4.516379117965698;4.516379117965698
31;;;;1319.3012199401855;1319.3012199401855;1319.3012199401855;24.108980894088745;24.108980894088745;24.108980894088745;;;;;;;;;;47.24611163139343;47.24611163139343;47.24611163139343;;;;20.71578359603882;20.71578359603882;20.71578359603882;4.716279983520508;4.716279983520508;4.716279983520508
32;;;;;;;24.799542903900146;24.799542903900146;24.799542903900146;;;;;;;;;;47.48324942588806;47.48324942588806;47.48324942588806;;;;22.627134799957275;22.627134799957275;22.627134799957275;4.885735034942627;4.885735034942627;4.885735034942627
33;;;;;;;24.88311743736267;24.88311743736267;24.88311743736267;;;;;;;;;;51.14619183540344;51.14619183540344;51.14619183540344;;;;22.864012479782104;22.864012479782104;22.864012479782104;5.794644594192505;5.794644594192505;5.794644594192505
34;;;;;;;25.04800844192505;25.04800844192505;25.04800844192505;;;;;;;;;;52.355270862579346;52.355270862579346;52.355270862579346;;;;23.80597162246704;23.80597162246704;23.80597162246704;6.063857316970825;6.063857316970825;6.063857316970825
35;;;;;;;28.958747386932373;28.958747386932373;28.958747386932373;;;;;;;;;;60.04257249832153;60.04257249832153;60.04257249832153;;;;24.570918560028076;24.570918560028076;24.570918560028076;6.330239295959473;6.330239295959473;6.330239295959473
36;;;;;;;29.431943893432617;29.431943893432617;29.431943893432617;;;;;;;;;;60.17646670341492;60.17646670341492;60.17646670341492;;;;25.759570121765137;25.759570121765137;25.759570121765137;6.631868124008179;6.631868124008179;6.631868124008179
37;;;;;;;30.964380502700806;30.964380502700806;30.964380502700806;;;;;;;;;;64.76841044425964;64.76841044425964;64.76841044425964;;;;28.31005334854126;28.31005334854126;28.31005334854126;6.691576242446899;6.691576242446899;6.691576242446899
38;;;;;;;31.035571575164795;31.035571575164795;31.035571575164795;;;;;;;;;;65.2170786857605;65.2170786857605;65.2170786857605;;;;32.444220542907715;32.444220542907715;32.444220542907715;7.005172967910767;7.005172967910767;7.005172967910767
39;;;;;;;31.335333108901978;31.335333108901978;31.335333108901978;;;;;;;;;;65.2724494934082;65.2724494934082;65.2724494934082;;;;33.79242920875549;33.79242920875549;33.79242920875549;7.901549577713013;7.901549577713013;7.901549577713013
40;;;;;;;37.32885766029358;37.32885766029358;37.32885766029358;;;;;;;;;;67.28400444984436;67.28400444984436;67.28400444984436;;;;34.1780846118927;34.1780846118927;34.1780846118927;8.605183124542236;8.605183124542236;8.605183124542236
41;;;;;;;46.398547887802124;46.398547887802124;46.398547887802124;;;;;;;;;;67.95242595672607;67.95242595672607;67.95242595672607;;;;36.72918152809143;36.72918152809143;36.72918152809143;8.822865724563599;8.822865724563599;8.822865724563599
42;;;;;;;51.47614073753357;51.47614073753357;51.47614073753357;;;;;;;;;;91.5302300453186;91.5302300453186;91.5302300453186;;;;37.73813796043396;37.73813796043396;37.73813796043396;8.883005619049072;8.883005619049072;8.883005619049072
43;;;;;;;63.266063928604126;63.266063928604126;63.266063928604126;;;;;;;;;;95.62473106384277;95.62473106384277;95.62473106384277;;;;39.51769757270813;39.51769757270813;39.51769757270813;9.176542520523071;9.176542520523071;9.176542520523071
44;;;;;;;76.84921026229858;76.84921026229858;76.84921026229858;;;;;;;;;;97.43040728569031;97.43040728569031;97.43040728569031;;;;44.84270930290222;44.84270930290222;44.84270930290222;11.017869472503662;11.017869472503662;11.017869472503662
45;;;;;;;81.24693274497986;81.24693274497986;81.24693274497986;;;;;;;;;;99.05307197570801;99.05307197570801;99.05307197570801;;;;45.865715742111206;45.865715742111206;45.865715742111206;12.294154405593872;12.294154405593872;12.294154405593872
46;;;;;;;82.08800458908081;82.08800458908081;82.08800458908081;;;;;;;;;;100.18391919136047;100.18391919136047;100.18391919136047;;;;45.90375065803528;45.90375065803528;45.90375065803528;13.504166603088379;13.504166603088379;13.504166603088379
47;;;;;;;96.99260330200195;96.99260330200195;96.99260330200195;;;;;;;;;;147.07581901550293;147.07581901550293;147.07581901550293;;;;46.4829204082489;46.4829204082489;46.4829204082489;14.526547908782959;14.526547908782959;14.526547908782959
48;;;;;;;104.70440745353699;104.70440745353699;104.70440745353699;;;;;;;;;;185.85908579826355;185.85908579826355;185.85908579826355;;;;51.19405913352966;51.19405913352966;51.19405913352966;16.54027271270752;16.54027271270752;16.54027271270752
49;;;;;;;136.16869854927063;136.16869854927063;136.16869854927063;;;;;;;;;;185.95202374458313;185.95202374458313;185.95202374458313;;;;56.88949704170227;56.88949704170227;56.88949704170227;17.32126760482788;17.32126760482788;17.32126760482788
50;;;;;;;143.41166067123413;143.41166067123413;143.41166067123413;;;;;;;;;;241.12155628204346;241.12155628204346;241.12155628204346;;;;57.177348613739014;57.177348613739014;57.177348613739014;19.423076629638672;19.423076629638672;19.423076629638672
51;;;;;;;155.36040258407593;155.36040258407593;155.36040258407593;;;;;;;;;;256.1978077888489;256.1978077888489;256.1978077888489;;;;57.18780016899109;57.18780016899109;57.18780016899109;20.77903938293457;20.77903938293457;20.77903938293457
52;;;;;;;162.45264649391174;162.45264649391174;162.45264649391174;;;;;;;;;;362.3100280761719;362.3100280761719;362.3100280761719;;;;57.383718967437744;57.383718967437744;57.383718967437744;22.949683904647827;22.949683904647827;22.949683904647827
53;;;;;;;173.54415917396545;173.54415917396545;173.54415917396545;;;;;;;;;;542.9152591228485;542.9152591228485;542.9152591228485;;;;57.92487025260925;57.92487025260925;57.92487025260925;23.670626878738403;23.670626878738403;23.670626878738403
54;;;;;;;188.08399486541748;188.08399486541748;188.08399486541748;;;;;;;;;;628.9095811843872;628.9095811843872;628.9095811843872;;;;58.92658519744873;58.92658519744873;58.92658519744873;25.82897114753723;25.82897114753723;25.82897114753723
55;;;;;;;248.58886337280273;248.58886337280273;248.58886337280273;;;;;;;;;;;;;;;;61.16575479507446;61.16575479507446;61.16575479507446;26.02415657043457;26.02415657043457;26.02415657043457
56;;;;;;;287.81885743141174;287.81885743141174;287.81885743141174;;;;;;;;;;;;;;;;65.08939480781555;65.08939480781555;65.08939480781555;27.95629072189331;27.95629072189331;27.95629072189331
57;;;;;;;299.79538893699646;299.79538893699646;299.79538893699646;;;;;;;;;;;;;;;;72.52559161186218;72.52559161186218;72.52559161186218;28.186004877090454;28.186004877090454;28.186004877090454
58;;;;;;;401.94560527801514;401.94560527801514;401.94560527801514;;;;;;;;;;;;;;;;88.89722752571106;88.89722752571106;88.89722752571106;29.184969186782837;29.184969186782837;29.184969186782837
59;;;;;;;468.57722568511963;468.57722568511963;468.57722568511963;;;;;;;;;;;;;;;;91.11417508125305;91.11417508125305;91.11417508125305;29.750993251800537;29.750993251800537;29.750993251800537
60;;;;;;;554.3715498447418;554.3715498447418;554.3715498447418;;;;;;;;;;;;;;;;114.9733829498291;114.9733829498291;114.9733829498291;32.29943537712097;32.29943537712097;32.29943537712097
61;;;;;;;788.1266028881073;788.1266028881073;788.1266028881073;;;;;;;;;;;;;;;;120.61619734764099;120.61619734764099;120.61619734764099;32.46374273300171;32.46374273300171;32.46374273300171
62;;;;;;;1796.9028866291046;1796.9028866291046;1796.9028866291046;;;;;;;;;;;;;;;;126.30804967880249;126.30804967880249;126.30804967880249;34.00934982299805;34.00934982299805;34.00934982299805
63;;;;;;;;;;;;;;;;;;;;;;;;;152.9982078075409;152.9982078075409;152.9982078075409;34.5739164352417;34.5739164352417;34.5739164352417
64;;;;;;;;;;;;;;;;;;;;;;;;;157.68322658538818;157.68322658538818;157.68322658538818;37.9644033908844;37.9644033908844;37.9644033908844
65;;;;;;;;;;;;;;;;;;;;;;;;;183.7072069644928;183.7072069644928;183.7072069644928;45.686034202575684;45.686034202575684;45.686034202575684
66;;;;;;;;;;;;;;;;;;;;;;;;;185.3034143447876;185.3034143447876;185.3034143447876;46.0592987537384;46.0592987537384;46.0592987537384
67;;;;;;;;;;;;;;;;;;;;;;;;;186.30844974517822;186.30844974517822;186.30844974517822;46.22454047203064;46.22454047203064;46.22454047203064
68;;;;;;;;;;;;;;;;;;;;;;;;;190.44857573509216;190.44857573509216;190.44857573509216;46.3243293762207;46.3243293762207;46.3243293762207
69;;;;;;;;;;;;;;;;;;;;;;;;;192.6433880329132;192.6433880329132;192.6433880329132;47.809059619903564;47.809059619903564;47.809059619903564
70;;;;;;;;;;;;;;;;;;;;;;;;;193.24811363220215;193.24811363220215;193.24811363220215;48.76055908203125;48.76055908203125;48.76055908203125
71;;;;;;;;;;;;;;;;;;;;;;;;;275.10556173324585;275.10556173324585;275.10556173324585;53.05412244796753;53.05412244796753;53.05412244796753
72;;;;;;;;;;;;;;;;;;;;;;;;;275.1262061595917;275.1262061595917;275.1262061595917;54.55537295341492;54.55537295341492;54.55537295341492
73;;;;;;;;;;;;;;;;;;;;;;;;;308.0870907306671;308.0870907306671;308.0870907306671;57.11825132369995;57.11825132369995;57.11825132369995
74;;;;;;;;;;;;;;;;;;;;;;;;;463.17513632774353;463.17513632774353;463.17513632774353;57.72273588180542;57.72273588180542;57.72273588180542
75;;;;;;;;;;;;;;;;;;;;;;;;;632.4046204090118;632.4046204090118;632.4046204090118;57.92597198486328;57.92597198486328;57.92597198486328
76;;;;;;;;;;;;;;;;;;;;;;;;;822.0869903564453;822.0869903564453;822.0869903564453;58.6887629032135;58.6887629032135;58.6887629032135
77;;;;;;;;;;;;;;;;;;;;;;;;;923.8035209178925;923.8035209178925;923.8035209178925;73.49217557907104;73.49217557907104;73.49217557907104
78;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.04714965820312;119.04714965820312;119.04714965820312
79;;;;;;;;;;;;;;;;;;;;;;;;;;;;125.93564033508301;125.93564033508301;125.93564033508301
80;;;;;;;;;;;;;;;;;;;;;;;;;;;;153.45935201644897;153.45935201644897;153.45935201644897
81;;;;;;;;;;;;;;;;;;;;;;;;;;;;209.80363702774048;209.80363702774048;209.80363702774048
82;;;;;;;;;;;;;;;;;;;;;;;;;;;;210.48579907417297;210.48579907417297;210.48579907417297
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;236.51128005981445;236.51128005981445;236.51128005981445
84;;;;;;;;;;;;;;;;;;;;;;;;;;;;307.41595363616943;307.41595363616943;307.41595363616943
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;540.6997294425964;540.6997294425964;540.6997294425964
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;1408.3705487251282;1408.3705487251282;1408.3705487251282
87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
