id;Type;STAMINA;STAMINAshifted;other;othershifted
cluster.128-2000-20.qos1;ctmc;16000;16000;152.9982078075409;152.9982078075409
majority.2100.change_state;ctmc;904.0696170330048;904.0696170330048;32.29943537712097;32.29943537712097
speed-ind.2100.change_state;ctmc;4000;4000;125.93564033508301;125.93564033508301
