id;Type;Storm-static;Storm-staticshifted;other;othershifted
bluetooth.1.time;dtmc;4000;4000;12.952099561691284;12.952099561691284
coupon.9-4-5.collect_all_bounded;dtmc;275.10556173324585;275.10556173324585;28.958747386932373;28.958747386932373
coupon.9-4-5.exp_draws;dtmc;186.30844974517822;186.30844974517822;9.82671594619751;9.82671594619751
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;19.671817779541016;19.671817779541016
crowds.5-20.positive;dtmc;15.359503030776978;15.359503030776978;7.530000448226929;7.530000448226929
crowds.6-20.positive;dtmc;114.9733829498291;114.9733829498291;37.257758140563965;37.257758140563965
egl.10-2.messagesB;dtmc;923.8035209178925;923.8035209178925;287.81885743141174;287.81885743141174
egl.10-2.unfairA;dtmc;822.0869903564453;822.0869903564453;47.48324942588806;47.48324942588806
egl.10-8.messagesB;dtmc;4000;4000;64.76841044425964;64.76841044425964
egl.10-8.unfairA;dtmc;4000;4000;17.521067142486572;17.521067142486572
haddad-monmege.100-0.7.exp_steps;dtmc;16000;16000;4000;4000
haddad-monmege.100-0.7.target;dtmc;16000;16000;4000;4000
herman.15.steps;dtmc;22.627134799957275;22.627134799957275;5.859082937240601;5.859082937240601
nand.40-4.reliable;dtmc;18.563143730163574;18.563143730163574;7.0185158252716064;7.0185158252716064
nand.60-4.reliable;dtmc;88.89722752571106;88.89722752571106;30.964380502700806;30.964380502700806
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;193.24811363220215;193.24811363220215;60.04257249832153;60.04257249832153
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;192.6433880329132;192.6433880329132;60.17646670341492;60.17646670341492
cluster.128-2000-20.premium_steady;ctmc;34.1780846118927;34.1780846118927;1.4498915672302246;1.4498915672302246
cluster.128-2000-20.qos1;ctmc;152.9982078075409;152.9982078075409;178.9294502735138;178.9294502735138
cluster.64-2000-20.below_min;ctmc;308.0870907306671;308.0870907306671;51.14619183540344;51.14619183540344
embedded.8-12.actuators;ctmc;0.13095998764038086;0.3;1.6804678440093994;1.6804678440093994
embedded.8-12.up_time;ctmc;0.0974283218383789;0.3;1.6628661155700684;1.6628661155700684
fms.8.productivity;ctmc;120.61619734764099;120.61619734764099;23.584816455841064;23.584816455841064
kanban.5.throughput;ctmc;61.16575479507446;61.16575479507446;30.54009485244751;30.54009485244751
majority.2100.change_state;ctmc;32.444220542907715;32.444220542907715;44.629342794418335;44.629342794418335
mapk_cascade.4-30.activated_time;ctmc;3.711729049682617;3.711729049682617;7.807526111602783;7.807526111602783
mapk_cascade.4-30.reactions;ctmc;190.44857573509216;190.44857573509216;182.11770367622375;182.11770367622375
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;57.92487025260925;57.92487025260925;81.24693274497986;81.24693274497986
philosophers.16-1.MaxPrReachDeadlock;ctmc;39.51769757270813;39.51769757270813;1.7078475952148438;1.7078475952148438
philosophers.16-1.MinExpTimeDeadlock;ctmc;44.84270930290222;44.84270930290222;24.108980894088745;24.108980894088745
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;4000;4000;1.977264404296875;1.977264404296875
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;128.88317608833313;128.88317608833313
