id;Type;mcsta;mcstashifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;28.958747386932373;28.958747386932373;179.95943593978882;179.95943593978882
coupon.9-4-5.exp_draws;dtmc;31.035571575164795;31.035571575164795;9.82671594619751;9.82671594619751
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;19.671817779541016;19.671817779541016
crowds.5-20.positive;dtmc;7.530000448226929;7.530000448226929;7.755246877670288;7.755246877670288
crowds.6-20.positive;dtmc;37.32885766029358;37.32885766029358;37.257758140563965;37.257758140563965
egl.10-2.messagesB;dtmc;287.81885743141174;287.81885743141174;300.26718401908875;300.26718401908875
egl.10-2.unfairA;dtmc;188.08399486541748;188.08399486541748;47.48324942588806;47.48324942588806
egl.10-8.messagesB;dtmc;4000;4000;64.76841044425964;64.76841044425964
egl.10-8.unfairA;dtmc;4000;4000;17.521067142486572;17.521067142486572
haddad-monmege.100-0.7.exp_steps;dtmc;16000;16000;4000;4000
haddad-monmege.100-0.7.target;dtmc;16000;16000;4000;4000
nand.40-4.reliable;dtmc;7.0185158252716064;7.0185158252716064;15.936527252197266;15.936527252197266
nand.60-4.reliable;dtmc;30.964380502700806;30.964380502700806;47.24611163139343;47.24611163139343
cluster.128-2000-20.premium_steady;ctmc;554.3715498447418;554.3715498447418;1.4498915672302246;1.4498915672302246
cluster.128-2000-20.qos1;ctmc;4000;4000;152.9982078075409;152.9982078075409
embedded.8-12.actuators;ctmc;16000;16000;0.13095998764038086;1
embedded.8-12.up_time;ctmc;16000;16000;0.0974283218383789;1
fms.8.productivity;ctmc;4000;4000;23.584816455841064;23.584816455841064
majority.2100.change_state;ctmc;4000;4000;32.444220542907715;32.444220542907715
mapk_cascade.4-30.activated_time;ctmc;7.807526111602783;7.807526111602783;3.711729049682617;3.711729049682617
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;81.24693274497986;81.24693274497986;57.92487025260925;57.92487025260925
philosophers.16-1.MaxPrReachDeadlock;ctmc;14.484102010726929;14.484102010726929;1.7078475952148438;1.7078475952148438
philosophers.16-1.MinExpTimeDeadlock;ctmc;24.108980894088745;24.108980894088745;44.84270930290222;44.84270930290222
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
