n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
32;;;;173.54415917396545;173.54415917396545;173.54415917396545;15.528366327285767;15.528366327285767;15.528366327285767;17.32126760482788;17.32126760482788;17.32126760482788
33;;;;197.91679525375366;197.91679525375366;197.91679525375366;15.811761379241943;15.811761379241943;15.811761379241943;19.423076629638672;19.423076629638672;19.423076629638672
34;;;;248.58886337280273;248.58886337280273;248.58886337280273;20.642104864120483;20.642104864120483;20.642104864120483;20.77903938293457;20.77903938293457;20.77903938293457
35;;;;292.29004740715027;292.29004740715027;292.29004740715027;20.71578359603882;20.71578359603882;20.71578359603882;22.949683904647827;22.949683904647827;22.949683904647827
36;;;;299.79538893699646;299.79538893699646;299.79538893699646;22.941450834274292;22.941450834274292;22.941450834274292;23.670626878738403;23.670626878738403;23.670626878738403
37;;;;455.8323423862457;455.8323423862457;455.8323423862457;23.80597162246704;23.80597162246704;23.80597162246704;26.02415657043457;26.02415657043457;26.02415657043457
38;;;;554.3715498447418;554.3715498447418;554.3715498447418;27.774599313735962;27.774599313735962;27.774599313735962;29.184969186782837;29.184969186782837;29.184969186782837
39;;;;788.1266028881073;788.1266028881073;788.1266028881073;31.299440145492554;31.299440145492554;31.299440145492554;32.29943537712097;32.29943537712097;32.29943537712097
40;;;;1311.3094158172607;1311.3094158172607;1311.3094158172607;31.525105476379395;31.525105476379395;31.525105476379395;32.46374273300171;32.46374273300171;32.46374273300171
41;;;;1433.4535908699036;1433.4535908699036;1433.4535908699036;32.444220542907715;32.444220542907715;32.444220542907715;34.00934982299805;34.00934982299805;34.00934982299805
42;;;;;;;34.1780846118927;34.1780846118927;34.1780846118927;34.5739164352417;34.5739164352417;34.5739164352417
43;;;;;;;43.639577865600586;43.639577865600586;43.639577865600586;45.686034202575684;45.686034202575684;45.686034202575684
44;;;;;;;49.87902021408081;49.87902021408081;49.87902021408081;46.3243293762207;46.3243293762207;46.3243293762207
45;;;;;;;51.26708960533142;51.26708960533142;51.26708960533142;53.05412244796753;53.05412244796753;53.05412244796753
46;;;;;;;58.92658519744873;58.92658519744873;58.92658519744873;58.6887629032135;58.6887629032135;58.6887629032135
47;;;;;;;74.1528058052063;74.1528058052063;74.1528058052063;73.49217557907104;73.49217557907104;73.49217557907104
48;;;;;;;120.61619734764099;120.61619734764099;120.61619734764099;119.04714965820312;119.04714965820312;119.04714965820312
49;;;;;;;126.30804967880249;126.30804967880249;126.30804967880249;125.93564033508301;125.93564033508301;125.93564033508301
50;;;;;;;186.26891350746155;186.26891350746155;186.26891350746155;153.45935201644897;153.45935201644897;153.45935201644897
51;;;;;;;1409.8088328838348;1409.8088328838348;1409.8088328838348;1408.3705487251282;1408.3705487251282;1408.3705487251282
52;;;;;;;;;;;;
53;;;;;;;;;;;;
54;;;;;;;;;;;;
55;;;;;;;;;;;;
56;;;;;;;;;;;;
