id;Type;modes;modesshifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;179.95943593978882;179.95943593978882;28.958747386932373;28.958747386932373
coupon.9-4-5.exp_draws;dtmc;9.82671594619751;9.82671594619751;31.035571575164795;31.035571575164795
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;19.671817779541016;19.671817779541016;4000;4000
crowds.5-20.positive;dtmc;1475.5086421966553;1475.5086421966553;7.530000448226929;7.530000448226929
crowds.6-20.positive;dtmc;1187.2745399475098;1187.2745399475098;37.257758140563965;37.257758140563965
egl.10-2.messagesB;dtmc;300.26718401908875;300.26718401908875;287.81885743141174;287.81885743141174
egl.10-2.unfairA;dtmc;428.6573052406311;428.6573052406311;47.48324942588806;47.48324942588806
egl.10-8.messagesB;dtmc;1259.660579442978;1259.660579442978;64.76841044425964;64.76841044425964
egl.10-8.unfairA;dtmc;1406.6142647266388;1406.6142647266388;17.521067142486572;17.521067142486572
haddad-monmege.100-0.7.exp_steps;dtmc;4000;4000;4000;4000
haddad-monmege.100-0.7.target;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;1040.465175151825;1040.465175151825;7.0185158252716064;7.0185158252716064
nand.60-4.reliable;dtmc;1208.5479717254639;1208.5479717254639;30.964380502700806;30.964380502700806
cluster.128-2000-20.premium_steady;ctmc;1.4498915672302246;1.4498915672302246;34.1780846118927;34.1780846118927
cluster.128-2000-20.qos1;ctmc;4000;4000;152.9982078075409;152.9982078075409
cluster.64-2000-20.below_min;ctmc;4000;4000;51.14619183540344;51.14619183540344
embedded.8-12.actuators;ctmc;4000;4000;0.13095998764038086;1
embedded.8-12.up_time;ctmc;4000;4000;0.0974283218383789;1
fms.8.productivity;ctmc;23.584816455841064;23.584816455841064;91.5302300453186;91.5302300453186
kanban.5.throughput;ctmc;16000;16000;30.54009485244751;30.54009485244751
majority.2100.change_state;ctmc;4000;4000;32.444220542907715;32.444220542907715
mapk_cascade.4-30.activated_time;ctmc;871.3053133487701;871.3053133487701;3.711729049682617;3.711729049682617
mapk_cascade.4-30.reactions;ctmc;182.11770367622375;182.11770367622375;190.44857573509216;190.44857573509216
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;4000;4000;57.92487025260925;57.92487025260925
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.7078475952148438;1.7078475952148438;14.484102010726929;14.484102010726929
philosophers.16-1.MinExpTimeDeadlock;ctmc;98.42154455184937;98.42154455184937;24.108980894088745;24.108980894088745
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1.977264404296875;1.977264404296875;1796.9028866291046;1796.9028866291046
philosophers.20-1.MinExpTimeDeadlock;ctmc;128.88317608833313;128.88317608833313;4000;4000
polling.18-16.s1_before_s2;ctmc;4000;4000;65.2170786857605;65.2170786857605
speed-ind.2100.change_state;ctmc;4000;4000;126.30804967880249;126.30804967880249
