n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.645369291305542;0.782727851437991;1.0;0.05629229545593262;0.5210599442068282;1.0;0.16849946975708008;0.5630537314082853;1.0
2;4.469900369644165;4.469900369644165;4.469900369644165;0.05872178077697754;0.5219351362995924;1.0;0.383988618850708;0.6534262625101314;1.0
3;5.60001540184021;5.60001540184021;5.60001540184021;0.17017889022827148;0.5637073105210464;1.0;2.6739039421081543;2.6739039421081543;2.6739039421081543
4;6.032178640365601;6.032178640365601;6.032178640365601;0.3793656826019287;0.6513429319829738;1.0;3.3944742679595947;3.3944742679595947;3.3944742679595947
5;8.406570672988892;8.406570672988892;8.406570672988892;0.9615771770477295;0.9738075853719411;1.0;4.140555143356323;4.140555143356323;4.140555143356323
6;11.816441774368286;11.816441774368286;11.816441774368286;1.5224509239196777;1.5224509239196777;1.5224509239196777;4.3166961669921875;4.3166961669921875;4.3166961669921875
7;14.959258794784546;14.959258794784546;14.959258794784546;1.8831770420074463;1.8831770420074463;1.8831770420074463;9.010342359542847;9.010342359542847;9.010342359542847
8;17.603744506835938;17.603744506835938;17.603744506835938;2.044778823852539;2.044778823852539;2.044778823852539;9.320540189743042;9.320540189743042;9.320540189743042
9;17.76220464706421;17.76220464706421;17.76220464706421;2.22442889213562;2.22442889213562;2.22442889213562;9.679322957992554;9.679322957992554;9.679322957992554
10;19.678304195404053;19.678304195404053;19.678304195404053;2.2538836002349854;2.2538836002349854;2.2538836002349854;10.371217727661133;10.371217727661133;10.371217727661133
11;20.45556616783142;20.45556616783142;20.45556616783142;2.676541566848755;2.676541566848755;2.676541566848755;12.852572679519653;12.852572679519653;12.852572679519653
12;20.783252954483032;20.783252954483032;20.783252954483032;2.8162624835968018;2.8162624835968018;2.8162624835968018;15.631234884262085;15.631234884262085;15.631234884262085
13;24.080203771591187;24.080203771591187;24.080203771591187;2.9586479663848877;2.9586479663848877;2.9586479663848877;15.790925979614258;15.790925979614258;15.790925979614258
14;24.921242713928223;24.921242713928223;24.921242713928223;3.366090774536133;3.366090774536133;3.366090774536133;16.936426401138306;16.936426401138306;16.936426401138306
15;25.75730299949646;25.75730299949646;25.75730299949646;3.609356164932251;3.609356164932251;3.609356164932251;22.880977153778076;22.880977153778076;22.880977153778076
16;26.520063877105713;26.520063877105713;26.520063877105713;3.7198030948638916;3.7198030948638916;3.7198030948638916;24.51815176010132;24.51815176010132;24.51815176010132
17;28.84848117828369;28.84848117828369;28.84848117828369;3.813185453414917;3.813185453414917;3.813185453414917;31.024540185928345;31.024540185928345;31.024540185928345
18;30.093029260635376;30.093029260635376;30.093029260635376;4.46652364730835;4.46652364730835;4.46652364730835;33.82659387588501;33.82659387588501;33.82659387588501
19;38.6238694190979;38.6238694190979;38.6238694190979;4.655896425247192;4.655896425247192;4.655896425247192;38.82311010360718;38.82311010360718;38.82311010360718
20;44.552818775177;44.552818775177;44.552818775177;5.840109348297119;5.840109348297119;5.840109348297119;45.793503522872925;45.793503522872925;45.793503522872925
21;60.77764940261841;60.77764940261841;60.77764940261841;5.9681556224823;5.9681556224823;5.9681556224823;50.94161510467529;50.94161510467529;50.94161510467529
22;67.59922313690186;67.59922313690186;67.59922313690186;6.182638168334961;6.182638168334961;6.182638168334961;56.54443359375;56.54443359375;56.54443359375
23;71.6927433013916;71.6927433013916;71.6927433013916;6.9316794872283936;6.9316794872283936;6.9316794872283936;57.60802936553955;57.60802936553955;57.60802936553955
24;76.12982892990112;76.12982892990112;76.12982892990112;6.977262020111084;6.977262020111084;6.977262020111084;59.88052248954773;59.88052248954773;59.88052248954773
25;78.42248272895813;78.42248272895813;78.42248272895813;8.527657985687256;8.527657985687256;8.527657985687256;61.870182275772095;61.870182275772095;61.870182275772095
26;82.34877943992615;82.34877943992615;82.34877943992615;8.91723370552063;8.91723370552063;8.91723370552063;117.70915150642395;117.70915150642395;117.70915150642395
27;86.86568784713745;86.86568784713745;86.86568784713745;9.272659063339233;9.272659063339233;9.272659063339233;162.3375163078308;162.3375163078308;162.3375163078308
28;94.26262521743774;94.26262521743774;94.26262521743774;9.737785339355469;9.737785339355469;9.737785339355469;187.50555801391602;187.50555801391602;187.50555801391602
29;144.88648128509521;144.88648128509521;144.88648128509521;12.610655546188354;12.610655546188354;12.610655546188354;273.24077248573303;273.24077248573303;273.24077248573303
30;152.22818040847778;152.22818040847778;152.22818040847778;16.53235912322998;16.53235912322998;16.53235912322998;274.65901041030884;274.65901041030884;274.65901041030884
31;170.51621913909912;170.51621913909912;170.51621913909912;19.410677671432495;19.410677671432495;19.410677671432495;534.0406477451324;534.0406477451324;534.0406477451324
32;184.36738061904907;184.36738061904907;184.36738061904907;22.943785429000854;22.943785429000854;22.943785429000854;626.6586534976959;626.6586534976959;626.6586534976959
33;199.40210962295532;199.40210962295532;199.40210962295532;26.025044202804565;26.025044202804565;26.025044202804565;822.0309743881226;822.0309743881226;822.0309743881226
34;199.52143955230713;199.52143955230713;199.52143955230713;27.43579864501953;27.43579864501953;27.43579864501953;911.4347832202911;911.4347832202911;911.4347832202911
35;234.88635778427124;234.88635778427124;234.88635778427124;31.598219633102417;31.598219633102417;31.598219633102417;;;
36;244.01624870300293;244.01624870300293;244.01624870300293;31.746829986572266;31.746829986572266;31.746829986572266;;;
37;258.4303660392761;258.4303660392761;258.4303660392761;32.44777822494507;32.44777822494507;32.44777822494507;;;
38;267.4077968597412;267.4077968597412;267.4077968597412;34.5156352519989;34.5156352519989;34.5156352519989;;;
39;296.50135254859924;296.50135254859924;296.50135254859924;40.66728639602661;40.66728639602661;40.66728639602661;;;
40;338.4787423610687;338.4787423610687;338.4787423610687;45.23035383224487;45.23035383224487;45.23035383224487;;;
