n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;mcsta;mcstascaled;mcstashifted
44;47.466766595840454;47.466766595840454;47.466766595840454;;;;530.0237901210785;530.0237901210785;530.0237901210785
45;50.82344913482666;50.82344913482666;50.82344913482666;;;;551.6223564147949;551.6223564147949;551.6223564147949
46;57.142983198165894;57.142983198165894;57.142983198165894;;;;787.9914536476135;787.9914536476135;787.9914536476135
47;59.86336040496826;59.86336040496826;59.86336040496826;;;;;;
48;72.00539875030518;72.00539875030518;72.00539875030518;;;;;;
49;181.08157563209534;181.08157563209534;181.08157563209534;;;;;;
50;210.2073950767517;210.2073950767517;210.2073950767517;;;;;;
51;1389.020504951477;1389.020504951477;1389.020504951477;;;;;;
52;;;;;;;;;
53;;;;;;;;;
54;;;;;;;;;
55;;;;;;;;;
56;;;;;;;;;
57;;;;;;;;;
58;;;;;;;;;
59;;;;;;;;;
60;;;;;;;;;
61;;;;;;;;;
62;;;;;;;;;
63;;;;;;;;;
64;;;;;;;;;
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
68;;;;;;;;;
69;;;;;;;;;
70;;;;;;;;;
71;;;;;;;;;
72;;;;;;;;;
73;;;;;;;;;
74;;;;;;;;;
75;;;;;;;;;
76;;;;;;;;;
77;;;;;;;;;
78;;;;;;;;;
79;;;;;;;;;
80;;;;;;;;;
81;;;;;;;;;
82;;;;;;;;;
83;;;;;;;;;
84;;;;;;;;;
85;;;;;;;;;
86;;;;;;;;;
87;;;;;;;;;
88;;;;;;;;;
89;;;;;;;;;
90;;;;;;;;;
91;;;;;;;;;
92;;;;;;;;;
93;;;;;;;;;
94;;;;;;;;;
95;;;;;;;;;
96;;;;;;;;;
97;;;;;;;;;
98;;;;;;;;;
99;;;;;;;;;
100;;;;;;;;;
