id;Type;PRISM;PRISMshifted;other;othershifted
bluetooth.1.time;dtmc;18.34593915939331;18.34593915939331;4000;4000
crowds.5-20.positive;dtmc;10.866581439971924;10.866581439971924;7.716775894165039;7.716775894165039
crowds.6-20.positive;dtmc;56.15145516395569;56.15145516395569;38.592076778411865;38.592076778411865
egl.10-2.messagesB;dtmc;420.44023418426514;420.44023418426514;286.7274241447449;286.7274241447449
egl.10-2.unfairA;dtmc;54.00314116477966;54.00314116477966;187.3759527206421;187.3759527206421
egl.10-8.messagesB;dtmc;99.07485222816467;99.07485222816467;4000;4000
egl.10-8.unfairA;dtmc;17.49091148376465;17.49091148376465;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;8000;8000;4000;4000
haddad-monmege.100-0.7.target;dtmc;8000;8000;4000;4000
herman.15.steps;dtmc;16.05742835998535;16.05742835998535;22.74191975593567;22.74191975593567
nand.40-4.reliable;dtmc;16.072890758514404;16.072890758514404;6.934811353683472;6.934811353683472
nand.60-4.reliable;dtmc;49.68142890930176;49.68142890930176;31.547567129135132;31.547567129135132
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;85.91794991493225;85.91794991493225;189.28172898292542;189.28172898292542
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;86.5793526172638;86.5793526172638;193.01730251312256;193.01730251312256
cluster.128-2000-20.premium_steady;ctmc;67.62052202224731;67.62052202224731;175.18121123313904;175.18121123313904
cluster.128-2000-20.qos1;ctmc;629.9062688350677;629.9062688350677;450.2413065433502;450.2413065433502
cluster.64-2000-20.below_min;ctmc;51.32397675514221;51.32397675514221;925.2219560146332;925.2219560146332
embedded.8-12.actuators;ctmc;1.6637887954711914;1.6637887954711914;0.7776095867156982;1
embedded.8-12.up_time;ctmc;1.6678879261016846;1.6678879261016846;0.725492000579834;1
fms.8.productivity;ctmc;91.39933586120605;91.39933586120605;4000;4000
kanban.5.throughput;ctmc;30.526582956314087;30.526582956314087;224.51074290275574;224.51074290275574
majority.2100.change_state;ctmc;97.3213300704956;97.3213300704956;65.05634808540344;65.05634808540344
mapk_cascade.4-30.activated_time;ctmc;8000;8000;5.8338963985443115;5.8338963985443115
mapk_cascade.4-30.reactions;ctmc;256.40979194641113;256.40979194641113;192.00018739700317;192.00018739700317
polling.18-16.s1_before_s2;ctmc;136.04128742218018;136.04128742218018;203.3464035987854;203.3464035987854
speed-ind.2100.change_state;ctmc;241.07750391960144;241.07750391960144;251.73936486244202;251.73936486244202
consensus.4-4.disagree;mdp;23.160612106323242;23.160612106323242;2.521324396133423;2.521324396133423
consensus.4-4.steps_min;mdp;51.74032163619995;51.74032163619995;2.7310752868652344;2.7310752868652344
consensus.6-2.disagree;mdp;309.71330881118774;309.71330881118774;54.76093506813049;54.76093506813049
consensus.6-2.steps_min;mdp;1103.403888463974;1103.403888463974;71.43869113922119;71.43869113922119
csma.3-4.all_before_max;mdp;121.32249283790588;121.32249283790588;5.944459915161133;5.944459915161133
csma.3-4.time_max;mdp;65.6973922252655;65.6973922252655;6.741584300994873;6.741584300994873
csma.4-2.all_before_max;mdp;65.42909288406372;65.42909288406372;3.0912322998046875;3.0912322998046875
csma.4-2.time_max;mdp;58.00962686538696;58.00962686538696;4.455019235610962;4.455019235610962
eajs.5-250-11.ExpUtil;mdp;53.79197669029236;53.79197669029236;17.638596296310425;17.638596296310425
eajs.6-300-13.ExpUtil;mdp;166.6452181339264;166.6452181339264;52.1372435092926;52.1372435092926
pacman.100.crash;mdp;4000;4000;293.5284035205841;293.5284035205841
pacman.60.crash;mdp;4000;4000;133.58866024017334;133.58866024017334
pnueli-zuck.5.live;mdp;1.6802911758422852;1.6802911758422852;0.7072618007659912;1
pnueli-zuck.10.live;mdp;14.927441120147705;14.927441120147705;0.9578907489776611;1
rabin.10.live;mdp;60.594013929367065;60.594013929367065;1.2535321712493896;1.2535321712493896
resource-gathering.1300-100-100.expgold;mdp;37.29662275314331;37.29662275314331;65.50255584716797;65.50255584716797
resource-gathering.1300-100-100.expsteps;mdp;8000;8000;38.42928433418274;38.42928433418274
resource-gathering.1300-100-100.prgoldgem;mdp;23.52586030960083;23.52586030960083;90.89545893669128;90.89545893669128
wlan.4-0.sent;mdp;9.860687971115112;9.860687971115112;3.349825859069824;3.349825859069824
wlan.4-0.cost_min;mdp;58.63333249092102;58.63333249092102;4.010963439941406;4.010963439941406
wlan.5-0.sent;mdp;27.328224658966064;27.328224658966064;12.812387466430664;12.812387466430664
wlan.5-0.cost_min;mdp;453.78631138801575;453.78631138801575;15.401335954666138;15.401335954666138
wlan.6-0.sent;mdp;100.30750513076782;100.30750513076782;50.95739698410034;50.95739698410034
wlan.6-0.cost_min;mdp;4000;4000;61.572596311569214;61.572596311569214
zeroconf.1000-8-false.correct_max;mdp;221.09106278419495;221.09106278419495;13.372882604598999;13.372882604598999
zeroconf.1000-8-false.correct_min;mdp;120.44681477546692;120.44681477546692;5.798058032989502;5.798058032989502
