id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;7.716775894165039;7.716775894165039
crowds.6-20.positive;dtmc;4000;4000;38.592076778411865;38.592076778411865
egl.10-2.unfairA;dtmc;8000;8000;54.00314116477966;54.00314116477966
egl.10-8.unfairA;dtmc;8000;8000;17.49091148376465;17.49091148376465
haddad-monmege.100-0.7.target;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;4000;4000;6.934811353683472;6.934811353683472
nand.60-4.reliable;dtmc;4000;4000;31.547567129135132;31.547567129135132
embedded.8-12.actuators;ctmc;41.34941029548645;41.34941029548645;0.7776095867156982;1
polling.18-16.s1_before_s2;ctmc;4000;4000;136.04128742218018;136.04128742218018
consensus.4-4.disagree;mdp;4000;4000;2.521324396133423;2.521324396133423
consensus.6-2.disagree;mdp;4000;4000;54.76093506813049;54.76093506813049
csma.3-4.all_before_max;mdp;59.041176319122314;59.041176319122314;5.944459915161133;5.944459915161133
csma.4-2.all_before_max;mdp;37.16520047187805;37.16520047187805;3.0912322998046875;3.0912322998046875
pacman.100.crash;mdp;8000;8000;293.5284035205841;293.5284035205841
pacman.60.crash;mdp;248.33732914924622;248.33732914924622;133.58866024017334;133.58866024017334
pnueli-zuck.5.live;mdp;0.7072618007659912;1;1.6802911758422852;1.6802911758422852
pnueli-zuck.10.live;mdp;0.9578907489776611;1;14.927441120147705;14.927441120147705
rabin.10.live;mdp;1.2535321712493896;1.2535321712493896;60.594013929367065;60.594013929367065
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.52586030960083;23.52586030960083
wlan.4-0.sent;mdp;4000;4000;3.349825859069824;3.349825859069824
wlan.5-0.sent;mdp;4000;4000;12.812387466430664;12.812387466430664
wlan.6-0.sent;mdp;4000;4000;50.95739698410034;50.95739698410034
zeroconf.1000-8-false.correct_max;mdp;24.536492586135864;24.536492586135864;13.372882604598999;13.372882604598999
zeroconf.1000-8-false.correct_min;mdp;5.798058032989502;5.798058032989502;16.4165301322937;16.4165301322937
