id;Type;Storm;Stormshifted;other;othershifted
bluetooth.1.time;dtmc;10.366326808929443;10.366326808929443;17.805126667022705;17.805126667022705
coupon.9-4-5.collect_all_bounded;dtmc;4.663182973861694;4.663182973861694;80.34915447235107;80.34915447235107
coupon.9-4-5.exp_draws;dtmc;4.490706443786621;4.490706443786621;160.59822607040405;160.59822607040405
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;1398.2003831863403;1398.2003831863403;4000;4000
crowds.5-20.positive;dtmc;2.6328952312469482;2.6328952312469482;8.815616607666016;8.815616607666016
crowds.6-20.positive;dtmc;2.9710896015167236;2.9710896015167236;44.747639179229736;44.747639179229736
egl.10-2.messagesB;dtmc;3.7900478839874268;3.7900478839874268;3.323509931564331;3.323509931564331
egl.10-2.unfairA;dtmc;3.8154256343841553;3.8154256343841553;1.8639512062072754;1.8639512062072754
egl.10-8.messagesB;dtmc;16.46184253692627;16.46184253692627;99.43871903419495;99.43871903419495
egl.10-8.unfairA;dtmc;26.065330743789673;26.065330743789673;17.61607336997986;17.61607336997986
haddad-monmege.100-0.7.exp_steps;dtmc;0.0590822696685791;1;1.6276671886444092;1.6276671886444092
haddad-monmege.100-0.7.target;dtmc;0.05773663520812988;1;4.742913484573364;4.742913484573364
herman.15.steps;dtmc;4.2475574016571045;4.2475574016571045;15.919564008712769;15.919564008712769
nand.40-4.reliable;dtmc;8.706298112869263;8.706298112869263;6.465235710144043;6.465235710144043
nand.60-4.reliable;dtmc;36.33254337310791;36.33254337310791;29.283401489257812;29.283401489257812
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;210.66841912269592;210.66841912269592;86.09223508834839;86.09223508834839
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;208.13939428329468;208.13939428329468;86.25383281707764;86.25383281707764
cluster.128-2000-20.premium_steady;ctmc;174.51093459129333;174.51093459129333;65.6035807132721;65.6035807132721
cluster.128-2000-20.qos1;ctmc;457.11889815330505;457.11889815330505;635.9573822021484;635.9573822021484
cluster.64-2000-20.below_min;ctmc;932.2671298980713;932.2671298980713;51.29620695114136;51.29620695114136
embedded.8-12.actuators;ctmc;0.761833667755127;1;1.665952205657959;1.665952205657959
embedded.8-12.up_time;ctmc;0.720970869064331;1;1.674776315689087;1.674776315689087
fms.8.productivity;ctmc;4000;4000;91.71955871582031;91.71955871582031
kanban.5.throughput;ctmc;259.62618041038513;259.62618041038513;30.594868183135986;30.594868183135986
majority.2100.change_state;ctmc;65.37557935714722;65.37557935714722;97.7777988910675;97.7777988910675
mapk_cascade.4-30.activated_time;ctmc;5.82468318939209;5.82468318939209;9.758317947387695;9.758317947387695
mapk_cascade.4-30.reactions;ctmc;235.37866401672363;235.37866401672363;255.8859715461731;255.8859715461731
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;105.54289889335632;105.54289889335632;4000;4000
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.5427393913269043;1.5427393913269043;21.50197196006775;21.50197196006775
philosophers.16-1.MinExpTimeDeadlock;ctmc;34.423086404800415;34.423086404800415;33.860137701034546;33.860137701034546
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
